# Метеостанция Нур-Султан, Казахстан, WMO_ID=35188, выборка с 01.01.2015 по 31.12.2015, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=35188&lang=ru
#
"Местное время в Нур-Султане";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.12.2015 21:00";"-2.7";"730.6";"763.4";"-0.5";"88";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Метель";"";"-2.7";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"";"-4.4";"1.0";"12";"";"";"";"";
"27.12.2015 18:00";"-4.3";"731.1";"764.1";"0.5";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"";"-6.3";"";"";"";"";"";"";
"27.12.2015 15:00";"-3.4";"730.6";"763.5";"0.5";"85";"Ветер, дующий с юго-юго-запада";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-5.6";"";"";"";"";"";"";
"27.12.2015 12:00";"-4.2";"730.1";"763.0";"2.1";"84";"Ветер, дующий с юго-запада";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"-4.8";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-6.5";"0.9";"12";"";"";"";"";
"27.12.2015 09:00";"-4.6";"728.0";"760.9";"1.8";"86";"Ветер, дующий с западо-юго-запада";"6";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"2.0";"-6.6";"0.9";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"12.0";
"27.12.2015 06:00";"-4.4";"726.2";"759.0";"1.9";"86";"Ветер, дующий с юго-запада";"4";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"-6.4";"";"";"";"";"";"";
"27.12.2015 03:00";"-2.2";"724.3";"756.7";"0.6";"81";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"-5.0";"";"";"";"";"";"";
"27.12.2015 00:00";"-1.9";"723.7";"756.0";"0.6";"88";"Ветер, дующий с юго-юго-запада";"5";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"1.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"-3.6";"1.0";"12";"";"";"";"";
"26.12.2015 21:00";"-1.0";"723.1";"755.2";"0.5";"85";"Ветер, дующий с юго-юго-запада";"6";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Метель";"";"1.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1500-2000";"";"";"";"-3.2";"1.0";"12";"";"";"";"";
"26.12.2015 18:00";"-1.2";"722.6";"754.8";"0.7";"86";"Ветер, дующий с юго-юго-запада";"5";"";"";"100%.";"Ливневый снег слабый в срок наблюдения или за последний час. ";"Ливень (ливни).";"Снег и/или другие виды твердых осадков";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"300-600";"";"";"";"-3.2";"";"";"";"";"";"";
"26.12.2015 15:00";"-0.8";"721.9";"754.0";"-0.3";"91";"Ветер, дующий с юго-юго-запада";"6";"";"16";"100%.";"Снег с перерывами сильный в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"200-300";"";"";"0.5";"-2.1";"";"";"";"";"";"";
"26.12.2015 12:00";"1.4";"722.2";"754.1";"0.0";"81";"Ветер, дующий с юго-юго-запада";"8";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"0.5";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.5";"2.0";"12";"";"";"";"";
"26.12.2015 09:00";"1.3";"722.2";"754.0";"-0.1";"83";"Ветер, дующий с юго-юго-запада";"7";"16";"17";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-1.3";"2.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"11.0";
"26.12.2015 06:00";"1.3";"722.3";"754.2";"-0.3";"82";"Ветер, дующий с юго-запада";"6";"15";"17";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1500-2000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"";"-1.4";"";"";"";"";"";"";
"26.12.2015 03:00";"1.4";"722.6";"754.5";"0.6";"86";"Ветер, дующий с юго-юго-запада";"5";"";"15";"100%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"";"-0.7";"";"";"";"";"";"";
"26.12.2015 00:00";"1.0";"722.0";"753.9";"-0.3";"92";"Ветер, дующий с юго-запада";"6";"15";"15";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"1.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-0.2";"2.0";"12";"";"";"";"";
"25.12.2015 21:00";"0.8";"722.3";"754.3";"-1.2";"93";"Ветер, дующий с запада";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь.";"";"1.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-0.2";"2.0";"12";"";"";"";"";
"25.12.2015 18:00";"0.6";"723.5";"755.5";"-1.6";"91";"Ветер, дующий с юга";"5";"";"15";"100%.";"Снег непрерывный умеренный в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Буря";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"";"-0.7";"";"";"";"";"";"";
"25.12.2015 15:00";"0.2";"725.1";"757.3";"-1.4";"88";"Ветер, дующий с юго-запада";"4";"";"15";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Дождь со снегом или другими видами твердых осадков";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-1.6";"";"";"";"";"";"";
"25.12.2015 12:00";"0.4";"726.5";"758.7";"0.1";"87";"Ветер, дующий с юга";"4";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.5";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"90  или более, но не 100%";"300-600";"Высокослоистые просвечивающие.";"";"4.0";"-1.5";"0.5";"12";"";"";"";"";
"25.12.2015 09:00";"0.0";"726.4";"758.7";"0.4";"89";"Ветер, дующий с юга";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-1.6";"0.5";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"11.0";
